Category,Sl.No.,Ministry/Department,Scheme,Actuals2019-2020 - Revenue,Actuals2019-2020 - Capital,Actuals2019-2020 - Total,Budget Estimates2020-2021 - Revenue,Budget Estimates2020-2021 - Capital,Budget Estimates2020-2021 - Total,Revised Estimates2020-2021 - Revenue,Revised Estimates2020-2021 - Capital,Revised Estimates2020-2021 - Total,Budget Estimates2021-2022 - Revenue,Budget Estimates2021-2022 - Capital,Budget Estimates2021-2022 - Total
Demand No. 15,166,Department of Food and Public Distribution ,"Scheme for providing assistance to Sugar Mills for expenses on marketing costs including handling, upgrading and other processing costs and costs of international and internal transport and freight charges on export of sugar", NA, NA, NA, NA, NA, NA, NA, NA , NA,2000, NA,2000
Demand No. 15,167,Department of Food and Public Distribution ,Schemes for Development of Sugar Industries,21,188.59,209.59,22,150,172,30,146.4,176.4,22,165,187
Demand No. 15,168,Department of Food and Public Distribution ,Strengthening of PDS Operations,9.02, NA,9.02,8.7, NA,8.7,8.06, NA ,8.06,8.17, NA,8.17
Demand No. 15,169,Department of Food and Public Distribution ,Integrated Management of Public Distribution System,20.21, NA,20.21,25, NA,25,25, NA ,25,25, NA,25
Demand No. 15,170,Department of Food and Public Distribution ,Storage and Godowns,13.58,49,62.58,10,40,50,4,40,44,4.79,55.21,60
Demand No. 15,171,Department of Food and Public Distribution ,Actual Recoveries,-1.74, NA,-1.74, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 16,172,Ministry of Corporate Affairs ,Champion Service Sector Scheme on Accounting and Finance Services, NA, NA, NA,5, NA,5,1, NA ,1,5, NA,5
Demand No. 16,173,Ministry of Corporate Affairs ,Corporate Data Management (CDM),6.75, NA,6.75,5.5, NA,5.5,5.5, NA ,5.5,5.5, NA,5.5
Demand No. 16,174,Ministry of Corporate Affairs ,Data Mining System (DMS), NA,0.18,0.18, NA,1,1, NA,0.22,0.22, NA,1,1
Demand No. 17,175,Ministry of Culture,"Centenaries and Anniversaries,  Celebrations and Schemes",102.7, NA,102.7,160.35, NA,160.35,104.43, NA ,104.43,144.64, NA,144.64
Demand No. 17,176,Ministry of Culture,Kala Sanskriti Vikas Yojana,149.48,14.66,164.14,207.79,2,209.79,139.78, NA ,139.78,167.43,1,168.43
Demand No. 17,177,Ministry of Culture,Development of Museums,90.42,29.97,120.39,180.9, NA,180.9,136.24, NA ,136.24,128.18, NA,128.18
Demand No. 17,178,Ministry of Culture,Development of Libraries and Archives, NA, NA, NA,0.38, NA,0.38, NA, NA , NA,0.77, NA,0.77
Demand No. 17,179,Ministry of Culture,Global Engagement and International Cooperation,11.4, NA,11.4,20.6, NA,20.6,8.16, NA ,8.16,9.9, NA,9.9
Demand No. 17,180,Ministry of Culture,National Mission for Preservation of Manuscripts,3.33, NA,3.33,6.3, NA,6.3,4.17, NA ,4.17,3.28, NA,3.28
Demand No. 18,181,Ministry of Defence (Civil) ,Transfer to Central Road and Infrastructure Fund,50,2100,2150,105,2300,2405,105,3100,3205,105,2500,2605
Demand No. 18,182,Ministry of Defence (Civil) ,Works under Border Roads Development Board, NA,248.15,248.15, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 18,183,Ministry of Defence (Civil) ,Grants to States for Strategic Roads,-3.42, NA,-3.42, NA, NA, NA,30, NA ,30, NA, NA, NA
Demand No. 18,184,Ministry of Defence (Civil) ,Other works,735.35, NA,735.35,645, NA,645,1015, NA ,1015,745, NA,745
Demand No. 20,185,Capital Outlay on Defence Services ,Land-Army - Army, NA,35.94,35.94, NA,291,291, NA,291,291, NA,291,291
Demand No. 20,186,Capital Outlay on Defence Services ,Construction Works-Army - Army, NA,5641.59,5641.59, NA,6061.67,6061.67, NA,6887.7,6887.7, NA,5572,5572
Demand No. 20,187,Capital Outlay on Defence Services ,Aircrafts and Aeroengines-Army - Army, NA,4478.29,4478.29, NA,4000,4000, NA,3809,3809, NA,4223.8,4223.8
Demand No. 20,188,Capital Outlay on Defence Services ,Heavy and Medium Vehicles - Army, NA,840.09,840.09, NA,1589.36,1589.36, NA,1319.32,1319.32, NA,2673,2673
Demand No. 20,189,Capital Outlay on Defence Services ,Other equipment-Army - Army, NA,17863.15,17863.15, NA,20209.25,20209.25, NA,20650.29,20650.29, NA,23490.1,23490.1
Demand No. 20,190,Capital Outlay on Defence Services ,Rolling Stock - Army, NA,6.97,6.97, NA,100,100, NA,150,150, NA,100,100
Demand No. 20,191,Capital Outlay on Defence Services ,Rashtriya Rifles - Army, NA,86.92,86.92, NA,100,100, NA,70,70, NA,100,100
Demand No. 20,192,Capital Outlay on Defence Services ,National Cadet Corps - Army, NA,44.28,44.28, NA,27.1,27.1, NA,18.5,18.5, NA,15,15
Demand No. 20,193,Capital Outlay on Defence Services ,Ex-Servicemen Contributory Health Scheme - Army, NA,4.73,4.73, NA,14,14, NA,17.47,17.47, NA,17,17
Demand No. 20,194,Capital Outlay on Defence Services ,Military Farms - Army, NA,-1.08,-1.08, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 20,195,Capital Outlay on Defence Services ,Land-Navy - Navy, NA,4.4,4.4, NA,16.49,16.49, NA,13,13, NA,17,17
Demand No. 20,196,Capital Outlay on Defence Services ,Construction Works-Navy - Navy, NA,1083.66,1083.66, NA,1052,1052, NA,1052,1052, NA,1002,1002
Demand No. 20,197,Capital Outlay on Defence Services ,Aircrafts and Aeroengines - Navy, NA,1070.84,1070.84, NA,4640,4640, NA,8687.39,8687.39, NA,5511.2,5511.2
Demand No. 20,198,Capital Outlay on Defence Services ,Heavy and Medium Vehicles - Navy, NA,18.82,18.82, NA,30,30, NA,30,30, NA,30,30
Demand No. 20,199,Capital Outlay on Defence Services ,Other equipment-Navy - Navy, NA,4011.9,4011.9, NA,3000,3000, NA,5950,5950, NA,5500,5500
Demand No. 20,200,Capital Outlay on Defence Services ,Naval Fleet - Navy, NA,16002.41,16002.41, NA,12746,12746, NA,17394.2,17394.2, NA,16000,16000
Demand No. 20,201,Capital Outlay on Defence Services ,Naval Dockyard/projects - Navy, NA,4336.62,4336.62, NA,4182,4182, NA,3654.08,3654.08, NA,3989.82,3989.82
Demand No. 20,202,Capital Outlay on Defence Services ,Joint Staff - Navy, NA,918.03,918.03, NA,1021.79,1021.79, NA,762.21,762.21, NA,1203.53,1203.53
Demand No. 20,203,Capital Outlay on Defence Services ,Land-Air Force - Air Force, NA,14.49,14.49, NA,150,150, NA,132.95,132.95, NA,511.27,511.27
Demand No. 20,204,Capital Outlay on Defence Services ,Construction Works-Air Force - Air Force, NA,2440.85,2440.85, NA,3100,3100, NA,2153.21,2153.21, NA,2407.84,2407.84
Demand No. 20,205,Capital Outlay on Defence Services ,Aircrafts and Aeroengines-Air Force - Air Force, NA,23449.47,23449.47, NA,26909.88,26909.88, NA,29425.02,29425.02, NA,24268.2,24268.2
Demand No. 20,206,Capital Outlay on Defence Services ,Heavy and Medium Vehicles-Air Force - Air Force, NA,109.63,109.63, NA,120,120, NA,80.08,80.08, NA,120,120
Demand No. 20,207,Capital Outlay on Defence Services ,Other equipment-Air Force - Air Force, NA,18434.67,18434.67, NA,12001.03,12001.03, NA,22298.71,22298.71, NA,24481.43,24481.43
Demand No. 20,208,Capital Outlay on Defence Services ,Special Projects - Air Force, NA,606.9,606.9, NA,1001,1001, NA,965.44,965.44, NA,1426.03,1426.03
Demand No. 20,209,Capital Outlay on Defence Services ,Defence Ordnance Factories, NA,834.22,834.22, NA,756.5,756.5, NA,630,630, NA,665,665
Demand No. 20,210,Capital Outlay on Defence Services ,Research  and Development, NA,8693.1,8693.1, NA,10532.87,10532.87, NA,7957.87,7957.87, NA,11375.5,11375.5
Demand No. 20,211,Capital Outlay on Defence Services ,Inspection - Director General Quality Audit (DGQA), NA,13.32,13.32, NA,12.06,12.06, NA,12.06,12.06, NA,20,20
Demand No. 20,212,Capital Outlay on Defence Services ,Projects of the Army - Techonology Development - Assistance for prototype development under make procedure, NA, NA, NA, NA,70,70, NA,70,70, NA,50,50
Demand No. 20,213,Capital Outlay on Defence Services ,Projects of the Air Force - Techonology Development - Assistance for prototype development under make procedure, NA,48.22,48.22, NA, NA, NA, NA,28.5,28.5, NA, NA, NA
Demand No. 22,214,Ministry of Development of North Eastern Region,Schemes of North East Council,346.84,25,371.84,526.18,80,606.18,360.59,13.79,374.38,342.55,42,384.55
Demand No. 22,215,Ministry of Development of North Eastern Region,Schemes of North East Council - Special Development Projects,305, NA,305,263.72, NA,263.72,203.72, NA ,203.72,200, NA,200
Demand No. 22,216,Ministry of Development of North Eastern Region,Central Pool of Resources for North East and Sikkim,379.19,197,576.19,407.16,144.59,551.75,200,144.56,344.56,404.5,176.45,580.95
Demand No. 22,217,Ministry of Development of North Eastern Region,North East Special Infrastructure Development Scheme (NESIDS),562.5, NA,562.5,674, NA,674,443, NA ,443,675, NA,675
Demand No. 22,218,Ministry of Development of North Eastern Region,"Consultancy, Monitoring, Evaluation - Charges under NLCPR Scheme",0.4, NA,0.4, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 22,219,Ministry of Development of North Eastern Region,NER Livelihood (EAP) Project (NERLP) -,12.54, NA,12.54, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 22,220,Ministry of Development of North Eastern Region,North East States Road PMU (ADB Assisted),0.28, NA,0.28,1, NA,1,0.6, NA ,0.6,0.55, NA,0.55
Demand No. 22,221,Ministry of Development of North Eastern Region,Construction/Improvement of Roads of Economic Importance, NA,1.78,1.78, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 22,222,Ministry of Development of North Eastern Region,North East Road Sector Development Scheme,324.56,355.82,680.38,340,460,800,279.02,130,409.02,321.65,374.04,695.69
Demand No. 22,223,Ministry of Development of North Eastern Region,Bodoland Territorial Council,3.85, NA,3.85,10, NA,10, NA, NA , NA,11, NA,11
Demand No. 22,224,Ministry of Development of North Eastern Region,Karbi Anglong Autonomous Territorial Council,35.57, NA,35.57,57, NA,57,18, NA ,18,37.75, NA,37.75
Demand No. 22,225,Ministry of Development of North Eastern Region,Dima Hasao Territorial Council,25.82, NA,25.82,34, NA,34,16, NA ,16,22, NA,22
Demand No. 22,226,Ministry of Development of North Eastern Region,Loan to North East Development Finance Corporation, NA,60,60, NA,30,30, NA,30,30, NA,30,30
Demand No. 23,227,Ministry of Earth Sciences ,"Ocean services, Modelling, Application, Resources and Technology (O-SMART)",424.27,11.23,435.5,550,17,567,230.5,8,238.5,421.17,15,436.17
Demand No. 23,228,Ministry of Earth Sciences ,Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS),273.22,82.02,355.24,310,130,440,174,53.9,227.9,337,123,460
Demand No. 23,229,Ministry of Earth Sciences ,Polar Science and Cryosphere (PACER),109.98, NA,109.98,125, NA,125,110, NA ,110,115, NA,115
Demand No. 23,230,Ministry of Earth Sciences ,Seismological and Geoscience (SAGE),79.23,11.96,91.19,95,25,120,26,13,39,85,25,110
Demand No. 23,231,Ministry of Earth Sciences ,"Research, Education and Training Outreach (REACHOUT)",62.7, NA,62.7,85, NA,85,35, NA ,35,60, NA,60
Demand No. 24,232,Department of School Education and Literacy ,National Award to Teachers,1.14, NA,1.14,1.5, NA,1.5,1.5, NA ,1.5,1.5, NA,1.5
Demand No. 24,233,Department of School Education and Literacy ,National Means cum Merit Scholarship Scheme,331.26, NA,331.26,373, NA,373,350, NA ,350,350, NA,350
Demand No. 24,234,Department of School Education and Literacy ,National Scheme for Incentive to Girl Child for Secondary Education,8.57, NA,8.57,110, NA,110,1, NA ,1,1, NA,1
Demand No. 24,235,Department of School Education and Literacy ,Operation Digital Board (ODB), NA, NA, NA,25, NA,25,1, NA ,1,1, NA,1
Demand No. 24,236,Department of School Education and Literacy ,Pradhan Mantri Innovative Learning Programme (DHRUV), NA, NA, NA,10, NA,10,0.5, NA ,0.5,10, NA,10
Demand No. 25,237,Department of Higher Education ,National Initiative on Sports and Wellness, NA, NA, NA,5, NA,5, NA, NA , NA,1, NA,1
Demand No. 25,238,Department of Higher Education ,National Initiative to foster social responsibility, NA, NA, NA,5, NA,5, NA, NA , NA,1, NA,1
Demand No. 25,239,Department of Higher Education ,National Research Professors,0.57, NA,0.57,1.3, NA,1.3,1.3, NA ,1.3,1.3, NA,1.3
Demand No. 25,240,Department of Higher Education ,"Establishment of multi disciplinary research universities including Central University of Himalayan Studies (CUHS), creation of Centres of Excellence and National Centre for Excellence in humanities", NA, NA, NA,0.1, NA,0.1,0.1, NA ,0.1,0.1, NA,0.1
Demand No. 25,241,Department of Higher Education ,Higher Education Financing Agency (HEFA), NA,2100,2100, NA,2200,2200, NA,200,200, NA,1,1
Demand No. 25,242,Department of Higher Education ,World Class Institutions,224.1, NA,224.1,500, NA,500,1101.39, NA ,1101.39,1710, NA,1710
Demand No. 25,243,Department of Higher Education ,Prime Minister's Girls' Hostel,3.25, NA,3.25,20, NA,20,20, NA ,20,20, NA,20
Demand No. 25,244,Department of Higher Education ,Indian Knowledge Systems, NA, NA, NA, NA, NA, NA, NA, NA , NA,10, NA,10
Demand No. 25,245,Department of Higher Education ,Interest Subsidy and contribution for Guarantee Funds,1674.9, NA,1674.9,1900, NA,1900,700, NA ,700,1900, NA,1900
Demand No. 25,246,Department of Higher Education ,Scholarship for College and University students,368.79, NA,368.79,141, NA,141,207.32, NA ,207.32,207.32, NA,207.32
Demand No. 25,247,Department of Higher Education ,Special Scholarship Scheme for Jammu and Kashmir, NA, NA, NA,225, NA,225,225, NA ,225,225, NA,225
Demand No. 25,248,Department of Higher Education ,PM Research Fellowship,26.26, NA,26.26,50, NA,50,75.89, NA ,75.89,150, NA,150
Demand No. 25,249,Department of Higher Education ,National Mission in Education Through ICT,104.4, NA,104.4,85, NA,85,48.05, NA ,48.05,150, NA,150
Demand No. 25,250,Department of Higher Education ,Setting up of virtual classrooms and massive open online courses (MOOCs),98.62, NA,98.62,75, NA,75,75, NA ,75,200, NA,200
Demand No. 25,251,Department of Higher Education ,e-shodh Sindhu,227.66, NA,227.66,242, NA,242,154.61, NA ,154.61,154.61, NA,154.61
Demand No. 25,252,Department of Higher Education ,Higher Education Statistics and Public Information  System (HESPIS),11.3, NA,11.3,20, NA,20,14, NA ,14,20, NA,20
Demand No. 25,253,Department of Higher Education ,National Digital Library,15.6, NA,15.6,12.4, NA,12.4,8.72, NA ,8.72,20, NA,20
Demand No. 25,254,Department of Higher Education ,National Academic Depository, NA, NA, NA,10, NA,10, NA, NA , NA,1, NA,1
Demand No. 25,255,Department of Higher Education ,PM e-Vidya, NA, NA, NA, NA, NA, NA, NA, NA , NA,50, NA,50
Demand No. 25,256,Department of Higher Education ,Academic Bank of Credits (ABC), NA, NA, NA, NA, NA, NA,5, NA ,5,50, NA,50
Demand No. 25,257,Department of Higher Education ,Training and Research in Frontier Areas,9.09, NA,9.09, NA, NA, NA,8, NA ,8, NA, NA, NA
Demand No. 25,258,Department of Higher Education ,National Inititative for Design Innovation,14, NA,14,35, NA,35,16, NA ,16,35, NA,35
Demand No. 25,259,Department of Higher Education ,Startup India Initiative in Higher Educational Institutions,43.87, NA,43.87,100, NA,100,167.5, NA ,167.5,100, NA,100
Demand No. 25,260,Department of Higher Education ,Unnat Bharat Abhiyan,11.17, NA,11.17,32.4, NA,32.4,7.44, NA ,7.44,7.4, NA,7.4
Demand No. 25,261,Department of Higher Education ,Implementation of the IMPRINT Research Initiative (Impacting Research Innovation and Technology),47.2, NA,47.2,50, NA,50,25, NA ,25,25, NA,25
Demand No. 25,262,Department of Higher Education ,Impactful Policy Research in Social Science (IMPRESS),18.75, NA,18.75, NA, NA, NA,25, NA ,25,25, NA,25
Demand No. 25,263,Department of Higher Education ,Scheme for Promotion of Academic and Research Collaboration (SPARC),80, NA,80,40, NA,40,10, NA ,10,10, NA,10
Demand No. 25,264,Department of Higher Education ,Scheme for Transformational and Advanced Research in Sciences (STARS),33, NA,33,50, NA,50,25, NA ,25,25, NA,25
Demand No. 25,265,Department of Higher Education ,Multidisciplinary Education and Research Improvement in Technical Education-EAP (MERITE), NA, NA, NA, NA, NA, NA, NA, NA , NA,10, NA,10
Demand No. 25,266,Department of Higher Education ,Pandit Madan Mohan Malviya National Mission on Teachers and Teaching,89.89, NA,89.89,50, NA,50,25, NA ,25,90, NA,90
Demand No. 25,267,Department of Higher Education ,National Institutional Ranking Framework,3.59, NA,3.59,2, NA,2,3, NA ,3,3, NA,3
Demand No. 25,268,Department of Higher Education ,Global Initiative for Academic Network (GIAN),12.5, NA,12.5,15, NA,15,4, NA ,4,10, NA,10
Demand No. 25,269,Department of Higher Education ,Technical Education Quality Improvement Programme of Government of India (EAP),1100, NA,1100,650, NA,650,670, NA ,670,20, NA,20
Demand No. 25,270,Department of Higher Education ,Programme for Apprenticeship Training,167.05, NA,167.05,175, NA,175,175, NA ,175,500, NA,500
Demand No. 25,271,Department of Higher Education ,Study in India,16.04, NA,16.04,65, NA,65,25, NA ,25,25, NA,25
Demand No. 25,272,Department of Higher Education ,Planning Administration and Global Engagement,49.3, NA,49.3,102.7, NA,102.7,103.29, NA ,103.29,141.7, NA,141.7
Demand No. 25,273,Department of Higher Education ,Education Quality Upgradation and Inclusion Programme (EQUIP), NA, NA, NA,1413, NA,1413, NA, NA , NA, NA, NA, NA
Demand No. 25,274,Department of Higher Education ,ASEAN Fellowship,1, NA,1,33, NA,33,4, NA ,4,10, NA,10
Demand No. 25,275,Department of Higher Education ,Education Services-Internationalization of Higher Education, NA, NA, NA,102, NA,102,100, NA ,100,160, NA,160
Demand No. 26,276,Ministry of Electronics and Information Technology ,Electronic Governance,402.06, NA,402.06,425, NA,425,415.82, NA ,415.82,425, NA,425
Demand No. 26,277,Ministry of Electronics and Information Technology ,Manpower Development,337.97, NA,337.97,430, NA,430,190, NA ,190,400, NA,400
Demand No. 26,278,Ministry of Electronics and Information Technology ,National Knowledge Network,274.64, NA,274.64,400, NA,400,584, NA ,584,500, NA,500
Demand No. 26,279,Ministry of Electronics and Information Technology ,"Promotion of Electronics and IT HW Manufacturing  (MSIPS, EDF and Manufacturing Clusters)",625.08,30,655.08,920,60,980,640,60,700,2601.32,30,2631.32
Demand No. 26,280,Ministry of Electronics and Information Technology ,Promotion of IT/ITeS Industries,90, NA,90,170, NA,170,100, NA ,100,150, NA,150
Demand No. 26,281,Ministry of Electronics and Information Technology ,Cyber Security Projects (NCCC & Others),51.73,40.34,92.07,170, NA,170,80, NA ,80,200, NA,200
Demand No. 26,282,Ministry of Electronics and Information Technology ,R and D in IT/Electronics/CCBT,427.74, NA,427.74,762.99, NA,762.99,425, NA ,425,700, NA,700
Demand No. 26,283,Ministry of Electronics and Information Technology ,Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA),400, NA,400,400, NA,400,250, NA ,250,300, NA,300
Demand No. 26,284,Ministry of Electronics and Information Technology ,Promotion of Digital payment,511.53, NA,511.53,220, NA,220,300, NA ,300,1500, NA,1500
Demand No. 26,285,Ministry of Electronics and Information Technology ,Champion Service Sector Scheme, NA, NA, NA,0.01, NA,0.01, NA, NA , NA,0.01, NA,0.01
Demand No. 27,286,"Ministry of Environment, Forests and Climate Change ",Forestry Training and Capacity Building,10.7, NA,10.7,11.37, NA,11.37,2, NA ,2,10, NA,10
Demand No. 27,287,"Ministry of Environment, Forests and Climate Change ",Eco-Task Force,75, NA,75,75, NA,75,38, NA ,38,60, NA,60
Demand No. 27,288,"Ministry of Environment, Forests and Climate Change ",National Coastal Mission (NCM),90.84, NA,90.84,103, NA,103,68.34, NA ,68.34,200, NA,200
Demand No. 27,289,"Ministry of Environment, Forests and Climate Change ",Pollution Abatement,9.8, NA,9.8,10, NA,10,6, NA ,6, NA, NA, NA
Demand No. 27,290,"Ministry of Environment, Forests and Climate Change ",Hazardous Substances Management (HSM),4.13, NA,4.13,12, NA,12,3.69, NA ,3.69,6, NA,6
Demand No. 27,291,"Ministry of Environment, Forests and Climate Change ",Climate Change Action Plan,22.99, NA,22.99,40, NA,40,24, NA ,24,30, NA,30
Demand No. 27,292,"Ministry of Environment, Forests and Climate Change ",National Adaptation Fund,33.82, NA,33.82,80, NA,80,44.24, NA ,44.24,60, NA,60
Demand No. 27,293,"Ministry of Environment, Forests and Climate Change ",National Mission on Himalayan Studies,47, NA,47,50, NA,50,30, NA ,30,40, NA,40
Demand No. 27,294,"Ministry of Environment, Forests and Climate Change ","Environmental Education, Awareness and Training",65.92, NA,65.92,114.36, NA,114.36,51, NA ,51,77.13, NA,77.13
Demand No. 27,295,"Ministry of Environment, Forests and Climate Change ",Environment Information Systems (ENVIS),26.72, NA,26.72,40, NA,40,25, NA ,25,35, NA,35
Demand No. 27,296,"Ministry of Environment, Forests and Climate Change ",Centres of Excellence,11.5, NA,11.5,14, NA,14,4.82, NA ,4.82, NA, NA, NA
Demand No. 27,297,"Ministry of Environment, Forests and Climate Change ",R and D for Conservation and Development,4.5, NA,4.5,7.5, NA,7.5,3, NA ,3,5, NA,5
Demand No. 27,298,"Ministry of Environment, Forests and Climate Change ",Control of Pollution,408.86, NA,408.86,460, NA,460,284, NA ,284,470, NA,470
Demand No. 28,299,Ministry of External Affairs ,Bhutan,2041.41,626.22,2667.63,2052.37,832.28,2884.65,1650.96,610.9,2261.86,2124.2,880.75,3004.95
Demand No. 28,300,Ministry of External Affairs ,Afghanistan,408.12, NA,408.12,400, NA,400,350, NA ,350,350, NA,350
Demand No. 28,301,Ministry of External Affairs ,Bangladesh,137.68, NA,137.68,200, NA,200,125, NA ,125,200, NA,200
Demand No. 28,302,Ministry of External Affairs ,Nepal,1198.26, NA,1198.26,800, NA,800,880, NA ,880,992, NA,992
Demand No. 28,303,Ministry of External Affairs ,Sri Lanka,201.09, NA,201.09,200, NA,200,75, NA ,75,200, NA,200
Demand No. 28,304,Ministry of External Affairs ,Maldives,134.41,176.45,310.86,300, NA,300,175, NA ,175,250, NA,250
Demand No. 28,305,Ministry of External Affairs ,Myanmar,162.3, NA,162.3,300, NA,300,350, NA ,350,400, NA,400
Demand No. 28,306,Ministry of External Affairs ,Mongolia, NA, NA, NA,2, NA,2,0.58, NA ,0.58,2, NA,2
Demand No. 28,307,Ministry of External Affairs ,African Countries,497.81, NA,497.81,350, NA,350,225, NA ,225,300, NA,300
Demand No. 28,308,Ministry of External Affairs ,Eurasian Countries,29.89, NA,29.89,45, NA,45,45, NA ,45,100, NA,100
Demand No. 28,309,Ministry of External Affairs ,Latin American Countries,12.16, NA,12.16,20, NA,20,22, NA ,22,40, NA,40
Demand No. 28,310,Ministry of External Affairs ,Other Developing Countries,138.23, NA,138.23,120, NA,120,100, NA ,100,130, NA,130
Demand No. 28,311,Ministry of External Affairs ,Disaster Relief,27.98, NA,27.98,20, NA,20,20, NA ,20,20, NA,20
Demand No. 28,312,Ministry of External Affairs ,Chabahar Port, NA, NA, NA,100, NA,100, NA, NA , NA,100, NA,100
Demand No. 28,313,Ministry of External Affairs ,Mauritius,1100, NA,1100,1025, NA,1025,650, NA ,650,900, NA,900
Demand No. 28,314,Ministry of External Affairs ,Seychelles,24.5, NA,24.5,140, NA,140,90, NA ,90,160, NA,160
Demand No. 28,315,Ministry of External Affairs ,Support to International Training/Programmes,472.65, NA,472.65,543, NA,543,385.72, NA ,385.72,476.2, NA,476.2
Demand No. 28,316,Ministry of External Affairs ,Aid for Cultural & Heritage Project, NA, NA, NA, NA, NA, NA,1, NA ,1,10, NA,10
Demand No. 29,317,Department of Economic Affairs ,National Investment and Infrastructure Fund (NIIF),1.42,2000,2001.42,3,500.01,503.01,3,4750.01,4753.01,3,5000.01,5003.01
Demand No. 29,318,Department of Economic Affairs ,Viability Gap Funding,11.85, NA,11.85,210.69,30,240.69,50,10,60,240,10,250
Demand No. 29,319,Department of Economic Affairs ,Indian Companies,21.02, NA,21.02,20.85, NA,20.85,208.59, NA ,208.59,225, NA,225
Demand No. 29,320,Department of Economic Affairs ,Exim Bank,1153.06, NA,1153.06,779.41, NA,779.41,2397.49, NA ,2397.49,1776.01, NA,1776.01
Demand No. 30,321,Department of Expenditure ,Public Financial Management System (PFMS),234.41, NA,234.41, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 31,322,Department of Financial Services ,Recapitalization of Public Sector Banks, NA, NA, NA, NA,0.01,0.01, NA,0.01,0.01, NA,0.01,0.01
Demand No. 31,323,Department of Financial Services ,Subscription to the Share Capital of Export-Import Bank of India, NA,950,950, NA,1300,1300, NA,1300,1300, NA,1500,1500
Demand No. 31,324,Department of Financial Services ,Recapitalization of Insurance Companies, NA,2500,2500, NA,6950,6950, NA,9950,9950, NA, NA, NA
Demand No. 31,325,Department of Financial Services ,Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD), NA,1500,1500, NA,1000,1000, NA,1000,1000, NA,2000,2000
Demand No. 31,326,Department of Financial Services ,Recapitalization of Regional Rural Banks (RRBs), NA,700.51,700.51, NA,200.01,200.01, NA,200,200, NA,1200,1200
Demand No. 31,327,Department of Financial Services ,Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank), NA,-0.03,-0.03, NA,0.01,0.01, NA, NA , NA, NA, NA, NA
Demand No. 31,328,Department of Financial Services ,Equity support to India Infrastructure Finance Company Limited (IIFCL), NA,500,500, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 31,329,Department of Financial Services ,Equity Support to Industrial Finance Corporation of India (IFCI), NA,200,200, NA,200,200, NA,200,200, NA,100,100
Demand No. 31,330,Department of Financial Services ,Grants to ICICI Bank for Externally Aided Components, NA, NA, NA,0.01, NA,0.01, NA, NA , NA,0.01, NA,0.01
Demand No. 31,331,Department of Financial Services ,Contribution to Financial Inclusion Fund (FIF) of NABARD to promote AADHAR Enabled Payment System, NA, NA, NA,20, NA,20,20, NA ,20,10, NA,10
Demand No. 31,332,Department of Financial Services ,Grants to NABARD to settle the claims under Indo-Swiss Cooperation-VI,0.85, NA,0.85,0.86, NA,0.86,0.85, NA ,0.85,0.84, NA,0.84
Demand No. 31,333,Department of Financial Services ,Subsidy to National Housing Bank for Interest Subvention on Housing Loans, NA, NA, NA,0.01, NA,0.01, NA, NA , NA,0.01, NA,0.01
Demand No. 31,334,Department of Financial Services ,World Bank Assistance to National Housing Bank (NHB) for low income housing finance in India, NA, NA, NA, NA,0.01,0.01, NA, NA , NA, NA,0.01,0.01
Demand No. 31,335,Department of Financial Services ,Support to Pradhan Mantri Jan Dhan Bima Yojana (PMJDBY), NA, NA, NA,0.01, NA,0.01, NA, NA , NA,0.01, NA,0.01
Demand No. 31,336,Department of Financial Services ,Government Co-contribution to Atal Pension Yojana,338.69, NA,338.69,299, NA,299,273, NA ,273,153, NA,153
Demand No. 31,337,Department of Financial Services ,Interest Subsidy to LIC for Pension Plan for Senior Citizens,116.08, NA,116.08,115.1, NA,115.1,45.05, NA ,45.05,65, NA,65
Demand No. 31,338,Department of Financial Services ,Pradhan Mantri Jeevan Jyoti Bima Yojna and Pradhan Mantri Suraksha Bima Yojna (Publicity and Awareness), NA, NA, NA,10, NA,10,5, NA ,5,5, NA,5
Demand No. 31,339,Department of Financial Services ,Pradhan Mantri Vaya Vandan Yojana (PMVVY),135.66, NA,135.66,180, NA,180,152.77, NA ,152.77,345.02, NA,345.02
Demand No. 31,340,Department of Financial Services ,Pradhan Mantri Mudra Yojana (PMMY)(through NCGTC), NA, NA, NA,500, NA,500,500, NA ,500,2500, NA,2500
Demand No. 31,341,Department of Financial Services ,Publicity and awareness for Pradhan Mantri Mudra Yojana (PMMY) and other initiatives by MUDRA Ltd.,10, NA,10,10, NA,10,10, NA ,10,5, NA,5
Demand No. 31,342,Department of Financial Services ,Stand-Up India (through NCGTC), NA, NA, NA,100, NA,100,100, NA ,100,100, NA,100
